,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing,fileDate
48,RCL,2023-03-24T00:00:00.000Z,Liberty Jason T,D,F,9740.0,60.435,183614.0,2023-03-29T01:15:05.000Z
49,RCL,2023-03-24T00:00:00.000Z,Liberty Jason T,D,F,2841.0,60.435,193354.0,2023-03-29T01:15:05.000Z
50,RCL,2023-03-24T00:00:00.000Z,Liberty Jason T,A,A,7221.0,0.0,196195.0,2023-03-29T01:15:05.000Z
51,EVOP,2023-03-24T00:00:00.000Z,DOMBALAGIAN VAHE A,D,D,1559840.0,,0.0,2023-03-29T01:13:58.000Z
52,EVOP,2023-03-24T00:00:00.000Z,DOMBALAGIAN VAHE A,D,D,304138.0,,0.0,2023-03-29T01:13:58.000Z
53,GOOG,2023-03-25T00:00:00.000Z,O'Toole Amie Thuener,A,C,937.0,0.0,26379.0,2023-03-29T01:13:40.000Z
54,GOOG,2023-03-25T00:00:00.000Z,O'Toole Amie Thuener,D,C,130.0,0.0,775.0,2023-03-29T01:13:40.000Z
55,GOOG,2023-03-25T00:00:00.000Z,O'Toole Amie Thuener,D,F,128.0,106.06,905.0,2023-03-29T01:13:40.000Z
56,GOOG,2023-03-25T00:00:00.000Z,O'Toole Amie Thuener,D,C,807.0,0.0,14300.0,2023-03-29T01:13:40.000Z
57,GOOG,2023-03-25T00:00:00.000Z,O'Toole Amie Thuener,D,F,793.0,106.06,15107.0,2023-03-29T01:13:40.000Z
58,EVOP,2023-03-24T00:00:00.000Z,Reidenbach Michael L,D,D,80887.0,,0.0,2023-03-29T01:13:26.000Z
59,PGEN,2023-03-24T00:00:00.000Z,Thomasian Harry Jr.,A,M,35868.0,,120829.0,2023-03-29T01:12:58.000Z
60,EVOP,2023-03-24T00:00:00.000Z,Lafiandra Catherine E,D,D,30829.0,,0.0,2023-03-29T01:12:44.000Z
61,EVOP,2023-03-24T00:00:00.000Z,Harland Nikki Tinsley,D,D,6714.0,,0.0,2023-03-29T01:12:16.000Z
62,PGEN,2023-03-24T00:00:00.000Z,Shah Rutul R,A,M,30960.0,,92997.0,2023-03-29T01:12:03.000Z
63,RCL,2023-03-24T00:00:00.000Z,Pujol Henry L,D,F,129.0,60.435,42429.0,2023-03-29T01:11:15.000Z
64,EVOP,2023-03-24T00:00:00.000Z,Garabedian John,D,D,54607.0,,0.0,2023-03-29T01:11:03.000Z
65,PGEN,2023-03-24T00:00:00.000Z,Perez Jeffrey Thomas,A,M,37756.0,,418768.0,2023-03-29T01:10:56.000Z
66,RCL,2023-03-24T00:00:00.000Z,Lutoff-Perlo Lisa,D,F,2232.0,60.435,69861.0,2023-03-29T01:10:18.000Z
67,RCL,2023-03-24T00:00:00.000Z,Lutoff-Perlo Lisa,A,A,5674.0,0.0,72093.0,2023-03-29T01:10:18.000Z
68,RCL,2023-03-24T00:00:00.000Z,Lutoff-Perlo Lisa,D,F,6378.0,60.435,63483.0,2023-03-29T01:10:18.000Z
69,EVOP,2023-03-24T00:00:00.000Z,Leeds David Wayne,D,D,37190.0,,0.0,2023-03-29T01:09:37.000Z
70,PGEN,2023-03-24T00:00:00.000Z,Lehr Donald P.,A,M,43419.0,,385632.0,2023-03-29T01:09:36.000Z
71,GKOS,2023-03-24T00:00:00.000Z,Navratil Tomas,D,F,1776.0,49.35,65679.0,2023-03-29T01:08:32.000Z
72,PGEN,2023-03-24T00:00:00.000Z,Sabzevari Helen,A,M,283173.0,,1220786.0,2023-03-29T01:08:19.000Z
73,GKOS,2023-03-24T00:00:00.000Z,Gilliam Joseph E,D,F,3134.0,49.35,121824.0,2023-03-29T01:07:50.000Z
74,EVOP,2023-03-24T00:00:00.000Z,Wilson Darren,D,D,63578.0,,0.0,2023-03-29T01:07:48.000Z
75,EVOP,2023-03-24T00:00:00.000Z,Panayiotou Stacey J.,D,D,11019.0,,0.0,2023-03-29T01:07:12.000Z
76,GKOS,2023-03-24T00:00:00.000Z,Thurman Alex R.,D,F,1628.0,49.35,59487.0,2023-03-29T01:07:05.000Z
77,EVOP,2023-03-24T00:00:00.000Z,Pope Gregory S,D,D,108805.0,,0.0,2023-03-29T01:06:38.000Z
78,EVOP,2023-03-24T00:00:00.000Z,Panther Thomas E,D,D,43613.0,,0.0,2023-03-29T01:06:31.000Z
79,EVOP,2023-03-24T00:00:00.000Z,KELLY JAMES G,D,D,321489.0,,0.0,2023-03-29T01:06:17.000Z
80,EVOP,2023-03-24T00:00:00.000Z,Raino Matthew W,D,D,1559840.0,,0.0,2023-03-29T01:03:54.000Z
81,EVOP,2023-03-24T00:00:00.000Z,Raino Matthew W,D,D,304138.0,,0.0,2023-03-29T01:03:54.000Z
